The Book Thief|Markus Zusak
Stress Test: Reflections on Financial Crises|Timothy F. Geithner
The Inner Game of Tennis: The Classic Guide to the Mental Side of Peak Performance|W. Timothy Gallwey
Man's Search for Meaning|Viktor E. Frankl
How to Read Literature Like a Professor|Thomas C. Foster
The Great Gat|by F. Scott Fitzgerald
Where Nobody Knows Your Name: Life In the Minor Leagues of Baseball|John Feinstein
Six Easy Pieces: Essentials of Physics By Its Most Brilliant Teacher|Richard P. Feynman
The 4-Hour Workweek|Timothy Ferriss 
Escher On Escher: Exploring the Infinite|M.C. Escher
Peak: Secrets from the New Science of Expertise|K. Anders Ericsson
The Sports Gene: Inside the Science of Extraordinary Athletic Performance|David Epstein
100 Deadly Skills: The SEAL Operative's Guide to Eluding Persuers, Evading Capture, and Surviving Any Dangerous Situation|Clint Emerson
The Cocktail Party|TS Eliot
The Annotated Waste Land with Eliot's Contemporary Prose|TS Eliot and edited by Lawrence Rainey
What is the What|Dave Eggers
The Power of Habit: Why We Do What We Do in Life and Business|Charles Duhigg
Managing Oneself|Peter Drucker
City of God|EL Doctorow
Flow: The Psychology of Optimal Experience|Mihaly Csikszentmihalyi
The Quantum Moment: How Planck, Bohr, Einstein, and Heisenberg Taught Us to Love Uncertainty|Robert P. Crease and Alfred Scharff Goldhaber
Talent is Overrated: What Really Separated World-Class Performers from Everybody Else|Geoff Colvin
Good to Great: Why Some Companies Make the Leap...and Others Don't|Jim Collins
10 Days: Benjamin Franklin|David Colbert
Gifted Hands: The Ben Carson Story|Ben Carson
Bad Blood: Secrets and Lies in a Silicon Valley Startup|John Carreyrou
How to Win Friends and Influence People|Dale Carnegie
Players First: Coaching from the Inside Out|John Calipari
Quiet: The Power of Introverts in a World that Can't Stop Talking|Susan Cain
A Walk in the Woods: Rediscovering America on the Appalachian Trail|Bill Bryson
A Short History of Nearly Everything|Bill Bryson
The Rise and Fall of the Dinosaurs: A New History of Their Lost World|Steve Brusatte
Bastard Tongues: A Trailblazing Linguist Finds Clues to Our Common Humanity in the World's Lowliest Languages|Derek Bickerton
Ways of Seeing|John Berger
City of Thieves|David Benioff
The System: The Glory and Scandal of Big-Time College Football|Jeff Benedict and Armen Keteyian
The ESPN Uncyclopedia: From Why They're Called the Packer's to Who's Been on a Wheatie's Box to Whatever Happened to Olympic Tug-of-War|Gary Belsky and Neil Fine
The New York Trilogy|Paul Auster
Meditations|Marcus Aurelius
The Jazz of Physics: The Secret Link Between Music and the Structure of the Universe|Stephon Alexander
