The Book Thief|Markus Zusak
Goals: How to Get the Most Out of Your Life|Zig Ziglar
The Infinite Sea|Rick Yancey
The 5th Wave|Rick Yancey
Fluent Forever: How to Learn Any Language Fast and Never Forget It|Gabriel Wyner
Mrs. Dalloway|Virginia Woolf
The Vocation Lectures|Max Weber
Calvin and Hobbes|Bill Watterson
The Revenge of the Baby-Sat|Bill Watterson
Something Under the Bed is Drooling|Bill Watterson
There's Treasure Everywhere|Bill Watterson
Attack of the Deranged Mutant Killer Monster SNOW GOONS|Bill Watterson
The Authoratative Calvin and Hobbes|Bill Watterson
The Indespensablle Calvin and Hobbes|Bill Watterson
This Is Water: Some Thoughts, Delivered on a Significant Occasion, about Living a Compassionate Life|David Foster Wallace
String Theory: David Foster Wallace on Tennis
Consider the Lobster and Other Essays|David Foster Wallace
The Captain Class: A New Theory of Leadership|Sam Walker
Why We Sleep: Unlocking the Power of Sleep and Dreams|Matthew Walker
The Bhagavad Gita|translated by Barbara Stoler Miller
Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future|Ashlee Vance
The Art of the Short Game: Tour-Tested Secrets for Getting Up and Down|Stan Utley and Matthew Rudy
The Art of War|Sun Tzu
Astrophysics for People in a Hurry|Neil DeGrasse Tyson
The Adventures of Tom Sawyer|Mark Twain
Doonesbury: The Original Yale Cartoons|Garry Trudeau
Zero to One: Notes on Startups, or How to Build the Future|Peter Thiel and Blake Masters
Through My Eyes: A Quarterback's Journey|Tim Tebow
Antifragile: Things That Gain from Disorder|Nassim Nicholas Taleb
The Bed of Procrustes: Philosophical and Practical Aphorisms|Nassim Nicholas Taleb
The Black Swan, Second Edition: The Impact of the Highly Improbable|Nassim Nicholas Taleb
Fooled by Randomness: The Hidden Role of Chance in Life and in the Markets|Nassim Nicholas Taleb
The Everything Store: Jeff Bezos and the Age of Amazon|Brad Stone
The Upstarts: How Uner, Airbnb, and the Killer Companies of Silicon Valley are Changing the World|Brad Stone
Cannery Row|John Steinbeck
The Pearl|John Steinbeck
Philosophy in 50 Milestone Moments: A Timeline of Philosophical Landmarks|Dan Smith
Marx: A Brief Insight|Peter Singer
Practical Ethics, Second Edition|Peter Singer
The Signal and the Noise: Why So Many Predictions Fail—But Some Don't|Nate Silver
The Right Side of History: How Reason and Moral Purpose Made the West Great|Ben Shapiro
Letters from a Stoic|Seneca
Snow Flower and the Secret Fan|Lisa See
Revolver: A Menacing Stranger. Stolen Gold. And a Loaded Gun.|Marcus Sedgwick
On Beauty|Elaine Scarry
Le Petit Prince|Antoine de Saint-Exupéry
Don't Burn This Book: Thinking for Yourself in an Age of Unreason|Dave Rubin
Letters to a Young Poet|Rainer Maria Rilke (translated by MD Herter Norton)
How I Built This|Guy Raz
The Hoops Whisperer: On the Court and Inside the Heads of Basketball's Best Players|Idan Ravin
The War of Art, Steven Pressfield|he War of Art, Steven Pressfield
The Last Days of Socrates|Plato (translated by Hugh Tredennick)
Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values|Robert M. Pirsig
Drive: The Surprising Truth About What Motivates Us|Daniel H. Pink
12 Rules for Life: An Antidote to Chaos|Jordan B. Peterson
And If You Play Golf, You're My Friend: Further Reflections of a Grown Caddie|Harvey Penick and Bud Shrake
Harvey Penick's Little Red Book: Lessons and Teachings From a Lifetime of Golf|Harvey Penick and Bud Shrake
Why Soccer Matters|Pelé and Brian Winter
A Tale for the Time Being|Ruth Ozeki 
1984|George Orwell 
Animal Farm|George Orwell 
The Road to Wigan Pier|George Orwell
The Stolen (An American Fairie Tale, #1)|Bishop O'Connell
The Forgotten (An American Faerie Tale, #2)|Bishop O'Connell
How To: Absurd Scientific Advice for Common Real-World Problems|Randall Munroe
What If? Serious Scientific Answers to Absurd Hypothetical Questions|Randall Munroe
Thing Explainer: Complicated Stuff in Simple Words|Randall Munroe
The Mindful Athlete: Secrets to Pure Performance|George Mumford
The World's Shortest Stories|Steve Moss
The Wall Street Journal Guide to Understanding Money and Investing|Kenneth M. Morris, Virginia B. Morris and Alan M. Siegel
Stuff Matters: Exploring the Marvelous Materials That Shape Our Man-Made World|Mark Miodownik
The Crucibl|Arthur Miller
The Accidental Billionaires: The Founding of Facebook|Ben Mezrich
Above the Line: Lessons in Leadership and Life from a Championship Season|Urban Meyer and Wayne Coffey
7 Men: And the Secret of Their Greatnes|Eric Metaxas
Make Your Bed: Little Things That Can Change Your Life...And Maybe the World|William H. McRaven 
El coronel no tiene quien le escriba|Gabriel García Márquez
The Greatest Salesman in the World|Og Mandino
Swim with the Sharks Without Being Eaten Alive: Outsell, Outmanage, Outmotivate, and Outnegotiate Your Competition|Harvey MacKay
The New Way Things Work|David Macaulay
Buffett: The Making of an American Capitalist|Roger Lowenstein
How to Spend $75 Billion to Make the World a Better Place|Bjørn Lomborg
Mr g: A Novel About The Creation|Alan Lightman
The Undoing Project: A Friendship That Changed Our Minds|Michael Lewis
Liar's Poker|Michael Lewis
Flash Boys: A Wall Street Revolt|Michael Lewis
The Big Short: Inside the Doomsday Machine|Michael Lewis
Freakonomics: A Rogue Economist Explores the Hidden Side of Everything|Steven D. Levitt and Stephen J. Dubner
Practice Perfect: 42 Rules for Getting Better at Getting Better|Doug Lemov, Katie Yezzi and Erica Woolway
To Kill a Mockingbird|Harper Lee
The Sixth Extinction: An Unnatural History|Elizabeth Kolbert
Shoe Dog: A Memoir|the Creator of NIKE|Phil Knight
Steal Like an Artist: 10 Things Nobody Told You About Being Creative|Austin Kleon
Rich Dad, Poor Dad|Robert T. Kiyosaki and Sharon Lechter
The Autobiography of Martin Luther King Jr|Martin Luther King Jr (edited by Clayborne Carson)
On the Road|Jack Kerouac
Profiles in Courage|John F. Kennedy
The Adventures of Adam Raccoon: Race to Victory Mountain|Glen Keane
I Can't Accept Not Trying: Michael Jordan on the Pursuit of Excellence|Michael Jordan and Sandro Miller
Steve Jobs|Walter Isaacson
Einstein: His Life and Universe|Walter Isaacson
Brave New World|Aldous Huxley
This Is Not a T-Shirt: A Brand, a Culture, a Community—a Life in Streetwear|Bobby Hundreds
Delivering Happiness: A Path to Profits, Passion, and Purpose|Tony Hsieh
The Keeper: The Unguarded Story of Tim Howard|Tim Howard with Ali Benjamin
Why Does the World Exist?: An Existential Detective Story|Jim Holt
The Archivist's Story|Travis Holland
Stillness Is the Key|Ryan Holiday
The Obstacle Is the Way: The Timeless Art of Turning Trials into Triumph|Ryan Holiday 
Ego Is the Enemy|Ryan Holiday
Ben Hogan's Five Lessons: The Modern Fundamentals of Golf|Ben Hogan
The Start-Up of You: Adapt to the Future, Invest in Yourself, and Transform Your Career|Reid Hoffman and Ben Casnocha
The True Believer: Thoughts on the Nature of Mass Movements|Eric Hoffer
Letters to a Young Contrarian|Christopher Hitchens
Hitch 22: A Memoir|Christopher Hitchens
Arguably: Selected Essays|Christopher Hitchens
Zen in the Art of Archery|Eugen Herrigel
For Whom the Bell Tolls|Ernest Hemingway
A Farewell to Arms|Ernest Hemingway
The Illustrated A Brief History of Time: The Universe in a Nutshell|Stephen Hawking
The Fab 5: The Scrapbook of a Revolution|Hannah Harshe and M. Earl Smith
Lying|Sam Harris
Free Will|Sam Harris
Relentless: From Good to Great to Unstoppable|Tim S. Grover and Shari Lesser Wenk
Rogue Lawyer|John Grisham
Lord of the Flies|William Golding
The Dip: A Little Book That Teaches You When to Quit|Seth Godin
The Tipping Point: How Little Things Can Make a Big Difference|Malcolm Gladwell
David and Goliath: Underdogs, Misfits, and the Art of Battling Giants|Malcolm Gladwell
